i, 11, maxT, 1, method, 2, obj, -1153.98247048, running time, 1.1535179615, 
i, 11, maxT, 1, method, relaxed, obj, -746.616149777, running time, 0.133760929108, 
i, 11, maxT, 2, method, 1, obj, -816.040908242, running time, 5.43237495422, 
i, 11, maxT, 2, method, 2, obj, -836.60796403, running time, 2.89262700081, 
i, 11, maxT, 2, method, relaxed, obj, -746.616149777, running time, 0.146551847458, 
i, 11, maxT, 3, method, 1, obj, -794.129692257, running time, 10.4122998714, 
i, 11, maxT, 3, method, 2, obj, -812.140304471, running time, 4.05818605423, 
i, 11, maxT, 3, method, relaxed, obj, -746.616149777, running time, 0.129540205002, 
i, 11, maxT, 4, method, 1, obj, -783.650450493, running time, 6.24915504456, 
i, 11, maxT, 4, method, 2, obj, -801.991610381, running time, 1.98341202736, 
i, 11, maxT, 4, method, relaxed, obj, -746.616149777, running time, 0.159707069397, 
